,X,y
0,post-1992-1993,1992
1,the early 3rd millennium,-1
2,the 6th-5th centuries,450
3,the 2nd century,150
4,season,-1
5,AD 61,61
6,AD 50).In the 3rd century AD,50
7,the 5th century,400
8,this era,-1
9,this day,-1
10,today,-1
11,the 9th century,800
12,1008,1008
13,this dynasty,-1
14,the 1860s,1860
15,the 14th century,1300
16,the late 15th century,1466
17,around 1463,1463
18,1490,1490
19,the following decades,-1
20,today,-1
21,the 1570s,1570
22,1555,1555
23,1725,1725
24,1728,1728
25,1733,1733
26,1771,1771
27,1806,1806
28,the end of the 17th century,1666
29,the mid-18th century,1750
30,1800,1800
31,1803,1803
32,1802,1802
33,1808,1808
34,August 1808,1808
35,three months,
36,February 1810,1810
37,June of that year,
38,1821,1821
39,between 1829 and 1842,1829
40,1864,1864
41,1866,1866
42,1877,1877
43,between 1866 and 1878,1866
44,1881,1881
45,1877,1877
46,1897,1897
47,1897,1897
48,1911,1911
49,present-day,-1
50,1911,1911
51,1870,1870
52,the 1900s,1905
53,1811,1811
54,1870,1870
55,1916,1916
56,1905,1905
57,the 19th century,1800
58,1907,1907
59,1917,1917
60,October 1917,1917
61,"November 8, 1917",1917
62,March 1918,1918
63,April 1918,1918
64,May 17,-1
65,"May 26, 1918",1918
66,June 8,-1
67,"June 27, 1918",1918
68,October 1918,1918
69,October 10,-1
70,six months,-1
71,February 1919,1919
72,"February 21, 1921",1921
73,the eve,-1
74,1920,1920
75,"February 11, 1921",1921
76,February 19,-1
77,February 23 to March 7,-1
78,March 4,-1
79,May 21,-1
80,December 16,-1
81,"December 13, 1922",1922
82,30 December,-1
83,"April 1, 1925 constitution",1925
84,1924,1924
85,1930,1930
86,the 1924,1924
87,years,-1
88,December 1936,1936
89,1937-38,1937
90,1952,1952
91,Between 1937 and 1953 tens of thousands,1937
92,1926,1926
93,1949,1949
94,five-year,-1
95,"2,700-year-old",-1
96,1949,1949
97,1959,1959
98,1992-93,1992
99,1953,1953
100,three decades,-1
101,1978,1978
102,That year,-1
103,seven years,-1
104,1990,1990
105,the 1920s,1925
106,1930s,1935
107,the 1920s,1925
108,the 1980s,1985
109,the 1980s,1985
110,the 1990s,1995
111,between 2000 and 2019,2000
112,the academic year 2020-2021,2020
113,1979,1979
114,2019,2019
115,2019,2019
116,1300,1300
117,between 16 and 29,16
